platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,,100,1.0,100,,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,9ZGARWpW1B87HzafgYDv,31.09828,2026-02-25 05:37:14.212000+00:00
WebGLPlayer,0.0,100,1.2,100,3.0,1773358412.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,9gvnsxlRVe7vT9iCl9EZ,,
WebGLPlayer,0.0,100,1.2,100,4.0,1773851367.0,1,1.0,835cc004-e460-4809-9d0d-4e5eb18def5c,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,A55tlT7U0dS4V26d2QjA,,
WebGLPlayer,0.0,100,1.2,100,5.0,1773604845.0,1,1.0,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,AdQIJiurQp296bFcnYx3,,
WebGLPlayer,0.0,7,1.2,9,3.0,1773264782.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,BE0ntuuHjOnhnpV0rwRm,,
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,BHClj7bsxYHVDqE01swF,25.7672653,2026-02-25 05:08:44.758000+00:00
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,BY4wzUsrrhMeqYMgga6o,6.25000525,2026-02-25 04:45:35.924000+00:00
WebGLPlayer,,100,1.0,100,,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,BkYnPZMlK4WvoBwM1l3I,118.820038,2026-02-25 05:42:05.150000+00:00
WebGLPlayer,0.0,100,1.2,100,3.0,1773333985.0,1,1.0,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,C181hYHVByFdEovZ9j75,,
WebGLPlayer,0.0,100,1.2,100,5.0,1773358804.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,CNpbZ7cHZwFHacT144vl,,
WebGLPlayer,,100,1.1,100,3.0,1772574933.0,3,,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,CPSEG7AQev90yAsLVdXc,2.47899771,1772574933446
WebGLPlayer,,100,1.0,100,,,1,,d45cf436-5581-4a62-bfa6-e33dea22d1da,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,DJSWqulxh2tFpKx2xhSq,5.13297462,2026-02-25 23:03:38.560000+00:00
WebGLPlayer,0.0,7,1.2,9,3.0,1773264998.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,DaqBRM5rwHLbysWW14Ps,,
WebGLPlayer,,100,1.0,100,,,1,,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,EwzBq2qcmfbP0yw7TVHG,163.240814,2026-02-26 02:20:28.565000+00:00
WebGLPlayer,,100,1.0,100,,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,F2C4jZFZ7IzeHaidgtKD,171.1816,2026-02-26 07:08:44.055000+00:00
WebGLPlayer,0.0,17,1.2,14,6.0,1773258113.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,FbRiLVEyQOaS2k9vIgA0,,
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Fx23I9K6FGF1f8pduRz6,3.232998,2026-02-25 05:05:37.301000+00:00
WebGLPlayer,,100,1.0,100,,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,GoOxHsB7iUMkAi5w2Qw9,7.46600866,2026-02-26 06:47:20.045000+00:00
