platform,level,cause,sensitivity_y,sensitivity_x,version,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,1,trigger,100,100,1.0,1,2026-02-25 05:21:22.025000+00:00,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Mx4T0Fks8kZT3WWwHSai,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 05:27:58.591000+00:00,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,N3UVxxrV8tSnOyPyTRLt,,,
WebGLPlayer,6,,100,100,1.2,1,,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,N476R6zYbypSlVaIyCOv,0.0,1773610548.0,1.0
WebGLPlayer,1,trigger,100,100,1.0,1,2026-02-25 18:38:58.431000+00:00,ef62f788-2864-4fa4-a004-d90d2597b88f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,N61bdWpyLvEfXhJyXy6C,,,
WebGLPlayer,3,,100,100,1.2,1,,26ca6f49-6baa-4ed5-8843-0aab2260422c,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,NoNJR0XvNozmb902PekS,0.3,1773607590.0,1.0
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-25 01:28:05.018000+00:00,c896b358-4b46-4219-9b4f-e9cd038beb70,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,NvWyU14EZNfUfjVKZShw,,,
WebGLPlayer,6,abandoned,100,100,1.0,1,2026-02-25 05:52:10.606000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,OR3S3Xq4mBvpnFEyTBwR,,,
WebGLPlayer,4,stalker,100,100,1.0,1,2026-02-25 05:47:05.422000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,P7wxOv9bKgiCfz3vYWIp,,,
WebGLPlayer,1,trigger,100,100,1.0,1,2026-02-26 20:47:22.578000+00:00,576e8a75-8c91-465f-a6f2-5daa6f4306b0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,P9IVOMNRpSyuiSSAiW0d,,,
WebGLPlayer,2,trigger,100,100,1.0,2,2026-02-26 00:13:09.709000+00:00,d0826227-0ba6-40a9-88b0-823d1c437007,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,PQudJgF0qlD4gpclmX4o,,,
WebGLPlayer,4,,100,100,1.2,1,,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,PWUhllLo0thkv6qPTJt5,0.0,1773610256.0,1.0
WebGLPlayer,3,,100,100,1.2,1,,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,PmlIss2yoRCmR9rhtlAS,0.0,1773610104.0,1.0
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-26 07:10:02.656000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,PyX8qkO3mate9RCO1yRH,,,
WebGLPlayer,1,trigger,100,100,1.0,1,2026-02-26 03:30:43.500000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,QOmzOiYpDeVt8KHQXESy,,,
WebGLPlayer,5,abandoned,100,100,1.0,1,2026-02-26 04:08:53.094000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,RorDig8w9r6K28Nw61mK,,,
WebGLPlayer,3,,46,49,1.2,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,SGzSnpr13WSqeCT6B8Kl,0.0,1773273364.0,0.0
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-25 05:23:46.020000+00:00,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,SQVJOfME36GBkVysZXrR,,,
WebGLPlayer,5,,9,7,1.2,2,,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,T4a5VwtJjqA4c61qy173,0.0,1773265858.0,1.0
WebGLPlayer,4,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,T5asRkO9JgUnseS2sy8y,0.0,1773257352.0,1.0
WebGLPlayer,3,trigger,7,8,1.1,1,1772511231979,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,ThfLtYPHxSUTYV90iMJw,,1772511231.0,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-26 04:01:41.597000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,TmlIkFD5qL53vdtpcpcI,,,
WebGLPlayer,4,trigger,100,100,1.0,1,2026-02-26 04:00:10.557000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,TtWeM9AePDyps9hjKMc8,,,
