platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,timestamp,type
WebGLPlayer,,10,1.1,12,2,1772511060.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,5geHDo8uBi0ZQwXgwlC6,1772511060823,Dog
WebGLPlayer,,6,1.1,8,1,1772587438.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,60jHSWaGjI4pOKB7tNYb,1772587438021,Dog
WebGLPlayer,,100,1.1,100,1,1772605636.0,1,,295634dc-88c6-4748-99df-89316806269b,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,66Vch5qdsTSstGRsqFpq,1772605636306,Dog
WebGLPlayer,,100,1.1,100,1,1772570542.0,1,,535c35fa-1611-4b2c-9a64-0a7b01315073,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,6ibtGu9ODjYfxo4NOOnQ,1772570542002,Dog
WebGLPlayer,,100,1.1,100,1,1772671671.0,1,,581f26f8-3555-474f-bfad-56bae920a4aa,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,6qd5sTzw6spH8q1aCk6s,1772671671730,Dog
WebGLPlayer,,100,1.1,100,1,1772510556.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,7Gq504zRE5IuyLPAbfVz,1772510556228,Dog
WebGLPlayer,,100,1.1,100,1,1772518109.0,1,,90ae50a2-1e30-46e6-ac38-7a23acdfbef8,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,7t7HSWZHVwj8BuIL0Ri0,1772518109085,Dog
WebGLPlayer,0.0,7,1.2,9,2,1773264495.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,8DC53STke8OBzOkBIkDn,,
WebGLPlayer,,100,1.1,100,2,1772903251.0,1,,a9e7478e-0cb7-4f7f-ae7f-1a024e172003,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,8VT4zTSUymYyNmKbyIOh,1772903251049,Dog
WebGLPlayer,,100,1.1,100,2,1772672683.0,1,,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,8WQ0XkvMlAcUX7xcsZtT,1772672683708,Dog
WebGLPlayer,0.0,23,1.2,23,2,1773258458.0,2,0.0,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,8jN4KM9rdlG39cIwjot1,,
WebGLPlayer,,100,1.0,100,4,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,8ocUtleglvWmlFqvMNuD,2026-02-25 05:42:08.594000+00:00,
WebGLPlayer,,100,1.1,100,1,1772574515.0,1,,3fa752ab-40eb-4e77-aca7-ce8162fd64e6,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,8tmjyW5PbPNOwKm6NkSt,1772574515174,Dog
WebGLPlayer,0.0,7,1.2,9,5,1773265927.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,9DLxxt0a5x6E0ohntmBs,,
WebGLPlayer,0.0,4,1.2,5,1,1773264149.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,AAHMW4Pe2gHdrNzY1P2W,,
WebGLPlayer,,100,1.0,100,4,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,ATsR80HpgHHR6Kg9q76A,2026-02-25 04:46:43.050000+00:00,
WebGLPlayer,,6,1.1,8,1,1772587613.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Aj94gASb8R8CQlH20SwH,1772587613866,Dog
WebGLPlayer,,100,1.1,100,1,1772574394.0,1,,3e570f88-d491-4348-bcae-97ec49934a2b,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,ApcuLRY5xsCWq1llQQjO,1772574394562,Dog
WebGLPlayer,,2,1.1,4,1,1772588031.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Au5RTfkDCotGjZqWi39w,1772588031023,Dog
WebGLPlayer,,100,1.1,100,1,1772518082.0,1,,90ae50a2-1e30-46e6-ac38-7a23acdfbef8,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Aub0Io5Uc8YsxPKJerYm,1772518082749,Dog
WebGLPlayer,,100,1.1,100,3,1772672871.0,1,,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,BNLmz7WeuGXwjVqllHnl,1772672871799,Dog
WebGLPlayer,,2,1.1,4,1,1772588283.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,BPijQZVnwqtRtW8LcPOj,1772588283092,Dog
WebGLPlayer,,100,1.0,100,4,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,BVntqLYXBFVehMdX1N4L,2026-02-26 07:01:02.095000+00:00,
