sensitivity_y,timestamp,time_spent,level,domain,flashlight_pct_on,playthrough,sensitivity_x,platform,userId,version,_doc_id,unix_time
100,1772682667906,57.92674,2,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,dd45b31c-7ee3-4f57-aa3d-bd465a10fb42,1.1,XRpW4sXdkTG4AXQVlgCf,1772682667.0
100,2026-02-25 02:40:32.509000+00:00,275.6179,3,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0238219164,1,100,WebGLPlayer,98df4f7c-2f7d-4336-8e31-98e565231e8f,1.0,Xy3LE3TSTmwiwwy91Sjg,
100,2026-02-25 18:50:11.311000+00:00,0.134,1,https://bmanske505.github.io/Escape-The-Forest/,0.0,1,100,WebGLPlayer,12ea51bf-5b57-4891-a08f-a0a9cb036581,1.0,YB0puoHwKRN6CKheHBny,
12,1772511159081,227.03923,2,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,10,WebGLPlayer,de227f93-8632-4b43-89db-9eb7dfc925de,1.1,Z4xE7C8hAU7DvV28R5rr,1772511159.0
100,1772574906622,107.58213,2,https://bmanske505.github.io/Escape-The-Forest/,0.0,3,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.1,ZyXzeaNzRURuKqtOW1js,1772574906.0
100,2026-02-25 01:23:15.329000+00:00,24.2260857,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,aaf31f2b-cd73-4dc0-b491-ce61797253fc,1.0,b93kQpVDVpcxS2y7LYlZ,
100,1772574636491,55.74711,2,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,3fa752ab-40eb-4e77-aca7-ce8162fd64e6,1.1,bFCqdo98savDvWkrK0qW,1772574636.0
100,1772518251138,185.006592,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,90ae50a2-1e30-46e6-ac38-7a23acdfbef8,1.1,bHRNXpXoJq8vq2fvvA7u,1772518251.0
100,2026-02-26 02:12:33.268000+00:00,19.6241131,0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,1.0,cIECawNmpctFYoEzxbNJ,
100,2026-02-25 23:03:19.493000+00:00,29.2680473,0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,d45cf436-5581-4a62-bfa6-e33dea22d1da,1.0,cgqEwUrOEx4gTJhLxIa6,
100,2026-02-25 05:40:00.072000+00:00,224.4473,3,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,10399faa-8e46-46d7-95ef-6e50cb706ee6,1.0,dbjHDE5TX3pXG20yfPpi,
47,2026-02-26 02:08:46.352000+00:00,261.449677,2,https://bmanske505.github.io/Escape-The-Forest/,0.0176370032,1,54,WebGLPlayer,12ea51bf-5b57-4891-a08f-a0a9cb036581,1.0,dcxou8oKzthiwMHpeBs7,
100,2026-02-25 05:35:03.153000+00:00,54.09293,1,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,10399faa-8e46-46d7-95ef-6e50cb706ee6,1.0,dqThtMIH3gHX9LxZzlSO,
100,2026-02-25 04:19:10.125000+00:00,0.067,4,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,2,100,WebGLPlayer,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,1.0,eIiatkiAUVR13Ay94zo8,
100,2026-02-25 04:41:58.092000+00:00,0.034,3,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,1.0,emhfbTk6UpaLk3VEg2Ox,
17,1772559596586,232.172623,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,2,18,WebGLPlayer,c727dee3-8d07-4537-b118-906a91092bef,1.1,eqgjAu6CBZudGMDcCsyD,1772559596.0
100,1772595932443,28.0004025,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,49c5ee18-51b7-47e1-bc7c-23b6da2855ae,1.1,exh2VYbXxsZ3JFFWy3xu,1772595932.0
100,2026-02-28 00:15:34.773000+00:00,32.2199974,0,https://bmanske505.github.io/Escape-The-Forest/,0.0,1,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.0,gb24W7qSUWt0TeuKgnWf,
100,2026-02-25 05:22:21.909000+00:00,71.3443451,1,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,7df36adf-44de-4187-9323-696cee2fb545,1.0,gyl9cEAPDn7kJLImvPwM,
100,2026-02-25 05:42:34.039000+00:00,19.6497936,5,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0268442277,1,100,WebGLPlayer,fb093188-7616-4e0f-8509-4279e51245ec,1.0,hjabl8ajZneAsfpSVgPa,
100,2026-02-26 02:21:54.848000+00:00,316.22998,3,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.017809486,1,100,WebGLPlayer,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,1.0,i0Os7oJ9IQttLUkBlxda,
100,2026-02-25 02:47:00.888000+00:00,48.8985863,6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.115515433,1,100,WebGLPlayer,98df4f7c-2f7d-4336-8e31-98e565231e8f,1.0,imKeHWRH39BnvfNOlFvu,
100,2026-02-26 20:47:41.166000+00:00,29.2283726,1,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,1,100,WebGLPlayer,576e8a75-8c91-465f-a6f2-5daa6f4306b0,1.0,jDqB4NIuz81SKJYSpIFA,
100,2026-02-25 04:12:36.247000+00:00,832.740234,2,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.02541141,2,100,WebGLPlayer,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,1.0,jNoIzMluIxQD5aSfLnSA,
100,1772574795718,184.534332,1,https://bmanske505.github.io/Escape-The-Forest/,0.0,3,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.1,jXc1qKF2PDCVduNHpFqA,1772574795.0
100,1772614323346,35.9153481,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,5fdb2967-8a87-431a-b231-c866b4426d74,1.1,jpQtJYVyEhSqom0iENN9,1772614323.0
100,1772508973312,8.916345,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,409e79a3-819d-41d0-9681-8cfdd84fcf25,1.1,kNb8PrJOkyoVIPEIAHId,1772508973.0
100,2026-02-25 02:31:47.530000+00:00,50.8528824,0,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,1,100,WebGLPlayer,98df4f7c-2f7d-4336-8e31-98e565231e8f,1.0,kcWLSvlBlN5GcxkaKWUX,
